"rank","Country Name","Country Code","Continent","Growth Percentage"
1,"Ethiopia","ETH","Africa","35.88%"
2,"Sierra Leone","SLE","Africa","26.73%"
3,"Uganda","UGA","Africa","25.03%"
4,"Papua New Guinea","PNG","Oceania","23.59%"
5,"Turkmenistan","TKM","Asia","18.75%"
6,"Venezuela, RB","VEN","South America","18.65%"
7,"Kenya","KEN","Africa","17.82%"
8,"Macao SAR, China","MAC","Asia","16.21%"
9,"Mongolia","MNG","Asia","15.46%"
10,"Tanzania","TZA","Africa","14.77%"
11,"Eritrea","ERI","Africa","14.73%"
12,"Tajikistan","TJK","Asia","14.18%"
13,"Solomon Islands","SLB","Oceania","13.90%"
14,"Panama","PAN","North America","13.88%"
15,"Suriname","SUR","South America","13.84%"
16,"Vietnam","VNM","Asia","13.75%"
17,"Lao PDR","LAO","Asia","11.96%"
18,"Afghanistan","AFG","Asia","11.93%"
19,"China","CHN","Asia","11.82%"
20,"Timor-Leste","TLS","Asia","11.34%"
21,"Peru","PER","South America","11.18%"
22,"Uzbekistan","UZB","Asia","11.12%"
23,"Tonga","TON","Oceania","11.06%"
24,"Bolivia","BOL","South America","11.04%"
25,"Mozambique","MOZ","Africa","10.53%"
26,"Iraq","IRQ","Asia","10.06%"
27,"Guyana","GUY","South America","10.00%"
28,"Liberia","LBR","Africa","9.77%"
29,"Philippines","PHL","Asia","9.73%"
30,"Kuwait","KWT","Asia","9.68%"
31,"Egypt, Arab Rep.","EGY","Africa","9.53%"
32,"Georgia","GEO","Europe","8.92%"
32,"Georgia","GEO","Asia","8.92%"
34,"Rwanda","RWA","Africa","8.73%"
35,"Australia","AUS","Oceania","8.63%"
36,"St. Kitts and Nevis","KNA","North America","8.45%"
37,"Colombia","COL","South America","8.38%"
38,"Costa Rica","CRI","North America","8.38%"
39,"Guinea","GIN","Africa","8.32%"
40,"Ukraine","UKR","Europe","8.15%"
41,"Nigeria","NGA","Africa","8.09%"
42,"Ecuador","ECU","South America","7.73%"
43,"Samoa","WSM","Oceania","7.67%"
44,"Zimbabwe","ZWE","Africa","7.62%"
45,"Cambodia","KHM","Asia","7.52%"
46,"Nicaragua","NIC","North America","7.47%"
47,"Uruguay","URY","South America","7.13%"
48,"United Arab Emirates","ARE","Asia","6.74%"
49,"Marshall Islands","MHL","Oceania","6.73%"
50,"Kazakhstan","KAZ","Europe","6.71%"
50,"Kazakhstan","KAZ","Asia","6.71%"
52,"Congo, Dem. Rep.","COD","Africa","6.62%"
53,"Palau","PLW","Oceania","6.52%"
54,"Chile","CHL","South America","6.47%"
55,"Angola","AGO","Africa","6.26%"
56,"Lebanon","LBN","Asia","6.09%"
57,"Belarus","BLR","Europe","6.01%"
58,"Argentina","ARG","South America","5.67%"
59,"Russian Federation","RUS","Europe","5.67%"
59,"Russian Federation","RUS","Asia","5.67%"
61,"Thailand","THA","Asia","5.54%"
